Wban Number, YearMonthDay, Max Temp, Min Temp, Avg Temp, Dep from Normal, Avg Dew Pt, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, Significant Weather, Snow/Ice Depth, Snow/Ice Water Equiv, Precipitation Snowfall, Precipitation Water Equiv, Pressue Avg Station, Pressure Avg Sea Level, Wind Speed, Wind Direction, Wind Avg Speed, Max 5 sec speed, Max 5 sec Dir, Max 2 min speed, Max 2 min Dir
03013,19960701,93,58,  76 ,  76, 61, 66,  0, 11,-,M  ,-,-, 0.00,26.24,29.94,  2.7,23, 4.8, 16,17, 14,17
03013,19960702,96,58,  77 ,  77, 56, 64,  0, 12,-,M  ,-,-, 0.00,26.20,29.89,  2.3,14, 6.0, 18,16, 15,17
03013,19960703,95,60,  78 ,  78, 58, 66,  0, 13,-,M  ,-,-, 0.00,26.16,29.84,  2.8,19, 6.5, 20,16, 17,18
03013,19960704,101*,60,  81 ,  81, 56, 66,  0, 16,-,M  ,-,-, 0.00,26.06,29.71,  2.1,16, 6.8, 23,17, 20,18
03013,19960705,99,70,  85*,  85, 63, 69,  0, 20,-,M  ,-,-,  T  ,26.09,29.75,  6.2,7,10.5, 30,36, 24,1
03013,19960706,97,62,  80 ,  80, 59, 67,  0, 15,-,M  ,-,-, 0.00,26.16,29.83,  0.8,30, 7.3, 26,2, 23,2
03013,19960707,96,63,  80 ,  80, 61, 67,  0, 15,RA ,0.0,-,-, 0.00,22.42,-,  7.9,16,10.5, 46,31, 38,19
03013,19960708,76,61,  69 ,  69, 64, 65,  0,  4,-,M  ,-,-, 0.00,26.18,29.90,  8.7,8, 9.5, 26,8, 22,8
03013,19960709,72,60,  66 ,  66, 62, 62,  0,  1,RA FG ,0.0,-,-, 0.11,26.28,30.02, 11.5,12,12.0, 24,11, 20,11
03013,19960710,65,58,  62*,  62, 59, 59,  3,  0,RA FG ,M  ,-,-, 0.05,26.30,30.08, 10.5,14,10.8, 21,14, 17,14
03013,19960711,92,56*,  74 ,  74, 63, 66,  0,  9,FG+ FG ,M  ,-,-, 0.00,26.18,29.91,  2.0,9, 6.6, 20,3, 16,3
03013,19960712,85,62,  74 ,  74, 64, 67,  0,  9,RA FG ,M  ,-,-, 0.68,26.28,29.98,  5.1,9,10.3, 45,34, 32,32
03013,19960713,86,62,  74 ,  74, 64, 67,  0,  9,RA FG ,M  ,-,-, 0.02,26.16,29.87,  4.0,17, 6.9, 22,10, 18,9
03013,19960714,80,58,  69 ,  69, 58, 62,  0,  4,RA FG ,M  ,-,-, 0.28,26.26,28.86,  2.5,5, 9.9, 46,5, 38,5
03013,19960715,93,60,  77 ,  77, 59, 66,  0, 12,-,M  ,-,-, 0.00,26.14,29.85, 10.2,18,12.1, 40,29, 31,29
03013,19960716,93,61,  77 ,  77, 62, 68,  0, 12,-,M  ,-,-, 0.07,26.05,29.71,  9.2,20,12.2, 31,17, 26,17
03013,19960717,95,63,  79 ,  79, 66, 70,  0, 14,-,M  ,-,-, 0.00,26.07,29.73,  1.0,27, 4.4, 22,4, 18,4
03013,19960718,96,66,  81 ,  81, 66, 69,  0, 16,-,M  ,-,-, 0.01,26.16,29.85,  3.1,25, 6.6, 41,25, 33,25
03013,19960719,91,65,  78 ,  78, 65, 69,  0, 13,-,M  ,-,-, 0.00,26.20,29.90,  3.0,27, 5.1, 15,27, 13,30
03013,19960720,M,M,M    ,M   ,-, 43,M  ,M  ,FG ,M  ,-,-,  T  ,26.17,-,  3.9,7, 5.0, 30,35, 24,36
03013,19960721,M,M,M    ,M   ,-, 32,M  ,M  ,-,M  ,-,-, 0.00,26.19,-,  3.0,4, 6.9, 22,19, 18,20
03013,19960722,M,M,M    ,M   ,-,-,M  ,M  ,HZ ,0.0,-,-, 0.00,-,-,-,-, 9.2, 34,8, 29,7
03013,19960723,93,60,  77 ,  77, 62, 66,  0, 12,FG HZ ,M  ,-,-, 0.19,26.25,28.84,  5.5,10, 8.6, 67,2, 53,1
03013,19960724,85,58,  72 ,  72, 59, 63,  0,  7,-,M  ,-,-, 0.01,26.33,30.06,  4.1,14, 7.9, 24,9, 18,12
03013,19960725,88,59,  74 ,  74, 60, 65,  0,  9,FG HZ ,M  ,-,-, 0.08,26.31,30.02, 10.6,17,14.0, 43,4, 33,4
03013,19960726,77,58,  68 ,  68, 61, 63,  0,  3,FG ,0.0,-,-, 0.00,26.31,30.06,  6.2,9, 6.6, 23,8, 20,8
03013,19960727,91,57,  74 ,  74, 58, 64,  0,  9,-,M  ,-,-, 0.00,26.33,30.07,  6.1,19, 8.3, 21,22, 17,21
03013,19960728,97,61,  79 ,  79, 57, 65,  0, 14,-,M  ,-,-, 0.00,26.28,29.98,  6.8,18,11.2, 33,34, 28,35
03013,19960729,86,61,  74 ,  74, 62, 66,  0,  9,RA FG HZ ,M  ,-,-, 0.05,26.31,30.06,  5.7,4, 9.5, 28,6, 23,5
03013,19960730,77,62,  70 ,  70,-,-,  0,  5,FG+ FG ,M  ,-,-, 1.53,-,-,-,-, 9.7, 28,11, 22,12
03013,19960731,90,62,  76 ,  76, 65, 68,  0, 11,FG ,M  ,-,-, 0.00,26.25,29.96,  4.4,16, 8.9, 30,3, 24,2
03017,19960701,93,58,  76 ,   6, 43, 58,  0, 11,-,M  ,-,-, 0.00,24.68,29.91,  2.0,29, 8.2, 18,1, 16,2
03017,19960702,96,61,  79 ,   9, 39, 57,  0, 14,-,M  ,-,-, 0.00,24.66,29.86,  2.2,24, 7.5, 18,8, 16,20
03017,19960703,98,68,  83*,  13, 42, 59,  0, 18,-,M  ,-,-, 0.00,24.60,29.78,  5.2,23,10.3, 23,32, 21,32
03017,19960704,99*,63,  81 ,  10, 46, 59,  0, 16,-,M  ,-,-, 0.00,24.56,29.75,  3.1,29, 7.9, 33,29, 30,29
03017,19960705,95,62,  79 ,   8, 52, 61,  0, 14,TS TSRA ,M  ,-,-,  T  ,24.61,29.79,  1.3,10, 9.8, 41,35, 37,35
03017,19960706,91,62,  77 ,   6, 52, 61,  0, 12,TS ,M  ,-,-, 0.00,24.66,29.88,  3.4,14,10.1, 41,32, 30,33
03017,19960707,93,58,  76 ,   5, 50, 60,  0, 11,-,M  ,-,-, 0.00,24.57,29.81,  3.4,1, 8.3, 18,2, 15,2
03017,19960708,75,59,  67 ,  -5, 53, 58,  0,  2,-,M  ,-,-,  T  ,24.65,29.93,  4.8,7,10.5, 22,13, 18,13
03017,19960709,77,56,  67 ,  -5, 58, 60,  0,  2,TS TSRA RA FG ,M  ,-,-, 0.47,24.66,29.96,  2.6,9,10.8, 28,1, 23,13
03017,19960710,86,54,  70 ,  -2, 53, 59,  0,  5,FG+ FG BCFG HZ ,M  ,-,-, 0.00,24.65,29.93,  2.4,21, 8.0, 20,20, 17,20
03017,19960711,91,62,  77 ,   5, 51, 60,  0, 12,-,M  ,-,-, 0.00,24.63,29.87,  3.5,11,11.0, 25,4, 21,4
03017,19960712,84,56,  70 ,  -2, 58, 62,  0,  5,TS TSRA RA FG ,M  ,-,-, 0.26,24.68,29.96,  9.6,8,11.5, 30,6, 25,6
03017,19960713,84,55,  70 ,  -2, 57, 61,  0,  5,TS TSRA ,M  ,-,-,  T  ,24.59,29.86,  3.4,6,12.6, 44,3, 34,3
03017,19960714,81,52*,  67 ,  -5, 49, 57,  0,  2,-,M  ,-,-, 0.00,24.67,29.97,  2.8,9, 7.4, 28,2, 23,2
03017,19960715,92,57,  75 ,   3, 50, 60,  0, 10,-,M  ,-,-, 0.00,24.56,29.79,  5.3,25,10.5, 28,29, 25,29
03017,19960716,89,65,  77 ,   5, 49, 60,  0, 12,HZ ,M  ,-,-, 0.00,24.51,29.71,  4.7,16, 8.7, 28,13, 24,13
03017,19960717,93,60,  77 ,   4, 49, 60,  0, 12,TS ,M  ,-,-,  T  ,24.54,29.77,  2.3,22, 8.8, 36,29, 32,29
03017,19960718,89,61,  75 ,   2, 53, 61,  0, 10,-,M  ,-,-, 0.00,24.67,29.90,  2.8,26, 7.7, 29,30, 26,30
03017,19960719,92,61,  77 ,   4, 55, 62,  0, 12,TS TSRA FG ,M  ,-,-, 0.16,24.68,29.90,  1.6,7, 8.8, 32,5, 26,5
03017,19960720,94,63,  79 ,   6, 49, 61,  0, 14,-,M  ,-,-, 0.00,24.62,29.83,  2.8,17, 9.9, 21,16, 18,14
03017,19960721,93,63,  78 ,   5, 41, 58,  0, 13,-,M  ,-,-, 0.00,24.67,29.87,  2.5,13,10.2, 24,32, 20,32
03017,19960722,85,63,  74 ,   1, 52, 60,  0,  9,-,M  ,-,-, 0.00,24.76,29.99,  4.3,7,12.7, 26,5, 22,15
03017,19960723,84,53,  69 ,  -4, 51, 59,  0,  4,-,M  ,-,-, 0.00,24.70,29.97,  3.4,3,12.7, 39,3, 30,2
03017,19960724,79,53,  66 ,  -7, 52, 58,  0,  1,TS ,M  ,-,-, 0.01,24.77,30.08,  4.0,8,10.7, 24,8, 22,8
03017,19960725,86,58,  72 ,  -1, 53, 60,  0,  7,-,M  ,-,-, 0.00,24.69,29.96,  3.3,19,11.6, 26,16, 23,17
03017,19960726,84,53,  69 ,  -4, 50, 58,  0,  4,TS FG ,M  ,-,-, 0.00,24.72,30.01,  3.2,29, 9.8, 32,1, 23,3
03017,19960727,91,56,  74 ,   1, 45, 57,  0,  9,-,M  ,-,-, 0.00,24.73,30.00,  3.8,19, 9.0, 20,19, 17,19
03017,19960728,90,59,  75 ,   2, 54, 59,  0, 10,+FC TS TSRA ,M  ,-,-, 0.04,24.76,30.03,  4.0,31,11.3, 41,1, 37,36
03017,19960729,70,59,  65*,  -8, 57, 60,  0,  0,RA FG ,M  ,-,-, 0.07,24.81,30.12,  2.6,33, 6.0, 16,35, 15,35
03017,19960730,85,55,  70 ,  -3, 55, 61,  0,  5,-,M  ,-,-, 0.00,24.69,29.99,  1.8,13, 9.5, 24,14, 20,15
03017,19960731,88,57,  73 ,   1, 54, 61,  0,  8,FG HZ ,M  ,-,-, 0.00,24.67,29.93,  2.2,7, 8.8, 40,5, 34,4
03103,19960701,84,48,  66 ,   2, 45, 55,  0,  1,-,M  ,-,-,  T  ,23.38,30.02,  2.2,4, 5.2, 28,25, 22,25
03103,19960702,88,46*,  67 ,   2, 42, 53,  0,  2,-,M  ,-,-,  T  ,23.31,29.95,  1.4,3, 5.0, 21,7, 17,5
03103,19960703,83,54,  69 ,   4, 53, 58,  0,  4,TS TSRA FG HZ ,M  ,-,-, 0.44,23.30,29.94,  4.9,26, 5.8, 23,19, 18,20
03103,19960704,84,58,  71 ,   6, 52, 59,  0,  6,TS TSRA ,M  ,-,-, 0.02,23.30,29.91,  2.5,22, 4.7, 17,19, 15,19
03103,19960705,86,56,  71 ,   6, 52, 60,  0,  6,-,M  ,-,-, 0.00,23.30,29.90,  2.6,21, 5.5, 22,21, 18,22
03103,19960706,87,62,  75*,  10, 49, 58,  0, 10,-,M  ,-,-, 0.03,23.34,29.95,  0.4,14, 3.1, 20,26, 15,31
03103,19960707,84,56,  70 ,   4, 54, 59,  0,  5,RA FG ,M  ,-,-, 0.32,23.31,29.93,  3.3,25, 5.9, 21,4, 18,5
03103,19960708,83,51,  67 ,   1, 53, 58,  0,  2,-,M  ,-,-, 0.09,23.27,29.89,  4.1,23, 4.9, 23,23, 18,18
03103,19960709,72,53,  63*,  -3, 53, 57,  2,  0,RA FG ,M  ,-,-, 0.04,23.31,29.97,  4.0,27, 5.3, 21,19, 17,19
03103,19960710,72,59,  66 ,   0, 55, 58,  0,  1,TS FG ,M  ,-,-, 0.04,23.38,30.04,  3.4,25, 5.1, 15,28, 13,28
03103,19960711,79,57,  68 ,   2, 54, 58,  0,  3,TS TSRA FG ,M  ,-,-, 0.05,23.38,30.04,  1.0,20, 3.8, 23,9, 21,9
03103,19960712,81,55,  68 ,   2, 52, 58,  0,  3,TS ,M  ,-,-, 0.00,23.32,29.98,  1.4,36, 4.5, 18,5, 15,5
03103,19960713,77,54,  66 ,   0, 53, 57,  0,  1,TS TSRA ,M  ,-,-, 0.01,23.30,29.95,  2.0,6, 4.1, 22,6, 17,5
03103,19960714,82,54,  68 ,   1, 52, 57,  0,  3,-,M  ,-,-,  T  ,23.31,29.96,  0.4,5, 4.5, 15,19, 13,20
03103,19960715,76,53,  65 ,  -2, 54, 58,  0,  0,-,M  ,-,-, 0.00,23.31,29.98,  4.2,21, 6.3, 21,19, 17,20
03103,19960716,74,57,  66 ,  -1, 58, 60,  0,  1,TS RA FG HZ ,M  ,-,-, 0.22,23.30,29.96,  6.4,22, 7.1, 22,20, 17,19
03103,19960717,78,54,  66 ,  -1, 51, 58,  0,  1,FG ,M  ,-,-, 0.00,23.31,29.96,  7.4,22, 7.5, 25,19, 18,19
03103,19960718,81,51,  66 ,  -1, 47, 55,  0,  1,-,M  ,-,-, 0.00,23.38,30.02,  5.1,23, 5.8, 20,20, 17,25
03103,19960719,85,48,  67 ,   0, 40, 53,  0,  2,-,M  ,-,-, 0.00,23.38,30.01,  1.8,19, 5.0, 21,25, 17,25
03103,19960720,87,52,  70 ,   3, 40, 54,  0,  5,-,M  ,-,-, 0.00,23.37,29.97,  4.8,25, 5.8, 20,26, 15,26
03103,19960721,89,52,  71 ,   4, 42, 55,  0,  6,-,M  ,-,-, 0.00,23.40,30.00,  2.9,23, 4.7, 20,24, 16,29
03103,19960723,92*,56,  74 ,   7, 35, 53,  0,  9,-,M  ,-,-,  T  ,23.39,29.96,  1.9,3, 6.7, 24,5, 20,5
03103,19960724,88,59,  74 ,   7, 39, 55,  0,  9,TS ,M  ,-,-,  T  ,23.39,29.96,  5.2,22, 6.9, 31,19, 28,19
03103,19960725,87,56,  72 ,   5, 48, 56,  0,  7,TS TSRA ,M  ,-,-, 0.03,23.39,30.02,  4.3,24, 5.7, 28,19, 21,19
03103,19960726,81,51,  66 ,  -1, 52, 57,  0,  1,TS TSRA ,M  ,-,-, 0.10,23.38,30.05,  2.6,26, 4.6, 23,29, 18,28
03103,19960727,85,50,  68 ,   1, 50, 56,  0,  3,FG ,M  ,-,-, 0.07,23.42,30.07,  3.0,20, 6.0, 24,6, 23,8
03103,19960728,78,54,  66 ,  -1, 53, 58,  0,  1,RA FG ,M  ,-,-, 0.09,23.46,30.14,  3.7,25, 5.1, 20,20, 14,26
03103,19960729,83,54,  69 ,   2, 48, 57,  0,  4,-,M  ,-,-,  T  ,23.43,30.09,  3.0,28, 4.6, 25,25, 16,22
03103,19960730,84,53,  69 ,   2, 51, 57,  0,  4,TS TSRA HZ ,M  ,-,-, 0.24,23.39,30.02,  1.0,26, 2.4, 16,8, 15,8
03103,19960731,85,49,  67 ,   1, 48, 55,  0,  2,TS TSRA ,M  ,-,-,  T  ,23.37,30.03,  0.4,4, 2.9, 20,4, 16,3
03104,19960701,117,82,  100, 100,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960702,108,77,   93,  93,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960703,100,76,   88,  88,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960704,113,75,   94,  94,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960705,112,74,   93,  93,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960706,109,71,   90,  90,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960707,105,77,   91,  91,-,-,-,-,DU BLDU ,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960708,107,73,   90,  90,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960709,101,72,   87,  87,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960710,103,74,   89,  89,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960711,110,72,   91,  91,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960712,111,86,   99,  99,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960713,109,84,   97,  97,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960714,102,79,   91,  91,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960715,101,77,   89,  89,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960716,103,75,   89,  89,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960717,105,73,   89,  89,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960718,107,65,   86,  86,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960719,110,72,   91,  91,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960720,109,74,   92,  92,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960721,107,66,   87,  87,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960722,114,78,   96,  96,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960723,117,74,   96,  96,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960724,110,69,   90,  90,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960725,108,76,   92,  92,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960726,102,82,   92,  92,-,-,-,-,HZ ,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960727,108,82,   95,  95,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960728,107,78,   93,  93,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960729,114,84,   99,  99,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960730,118,88,  103, 103,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03104,19960731,119,92,  106, 106,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03145,19960701,114,82,  98 ,   6, 54, 70,  0, 33,-,M  ,-,-, 0.00,29.46,29.71,  4.1,19, 5.1, 17,21, 15,23
03145,19960702,110,87,  99 ,   7, 64, 75,  0, 34,HZ ,M  ,-,-, 0.00,29.45,29.70, 14.2,16,15.6, 29,15, 25,15
03145,19960703,105,85,  95 ,   2, 67, 76,  0, 30,-,M  ,-,-, 0.00,29.46,29.73,  6.2,18, 8.5, 22,17, 21,16
03145,19960704,110,85,  98 ,   5, 63, 74,  0, 33,-,M  ,-,-, 0.00,29.41,29.67,  3.9,21, 6.9, 17,27, 15,22
03145,19960705,111,84,  98 ,   6, 64, 75,  0, 33,-,M  ,-,-, 0.00,29.43,29.68,  9.8,17,10.3, 21,18, 17,19
03145,19960706,111,84,  98 ,   6, 66, 76,  0, 33,-,M  ,-,-, 0.00,29.45,29.72, 10.3,17,12.3, 24,14, 21,15
03145,19960707,106,84,  95 ,   2, 68, 76,  0, 30,HZ ,M  ,-,-,  T  ,29.46,29.72,  9.7,18,12.3, 41,16, 36,16
03145,19960708,106,84,  95 ,   2, 67, 76,  0, 30,-,M  ,-,-, 0.00,29.39,29.65, 13.2,16,13.8, 26,16, 23,15
03145,19960709,103,85,  94 ,   0, 66, 75,  0, 29,HZ ,M  ,-,-, 0.00,29.48,29.74, 14.2,16,15.1, 32,15, 28,15
03145,19960710,105,86,  96 ,   1, 66, 75,  0, 31,-,M  ,-,-, 0.00,29.56,29.83,  9.0,18,10.3, 22,19, 17,19
03145,19960711,108,82,  95 ,   1, 63, 73,  0, 30,-,M  ,-,-, 0.00,29.56,29.81,  2.1,23, 6.4, 17,25, 14,19
03145,19960712,109,83,  96 ,   2, 61, 73,  0, 31,-,M  ,-,-, 0.00,29.48,29.74,  5.3,21, 7.5, 20,25, 15,19
03145,19960713,106,87,  97 ,   3, 62, 73,  0, 32,-,M  ,-,-,  T  ,29.46,29.71,  5.4,18, 8.0, 20,15, 17,15
03145,19960714,100,83,  92 ,  -2, 71, 77,  0, 27,-,M  ,-,-, 0.00,29.51,29.76, 14.2,17,14.8, 31,15, 28,15
03145,19960715,100,81,  91*,  -3, 67, 74,  0, 26,HZ ,M  ,-,-, 0.00,29.55,29.81,  5.9,15, 8.8, 29,8, 23,8
03145,19960716,104,81,  93 ,  -1, 56, 70,  0, 28,-,M  ,-,-, 0.00,29.50,29.76, 10.9,16,11.2, 24,16, 18,16
03145,19960717,105,84,  95 ,   1, 58, 71,  0, 30,-,M  ,-,-, 0.00,29.49,29.75,  9.8,16,10.3, 20,17, 17,17
03145,19960718,108,83,  96 ,   3, 54, 69,  0, 31,-,M  ,-,-, 0.00,29.53,29.80,  6.6,19, 7.2, 21,18, 16,21
03145,19960719,110,81,  96 ,   2, 50, 68,  0, 31,-,M  ,-,-, 0.00,29.51,29.77,  2.5,20, 6.0, 17,30, 14,30
03145,19960720,108,81*,  95 ,   1, 59, 71,  0, 30,-,M  ,-,-, 0.00,29.51,29.77, 11.3,17,11.8, 28,16, 24,16
03145,19960721,109,83,  96 ,   3, 58, 71,  0, 31,-,M  ,-,-, 0.00,29.56,29.81,  7.7,18, 8.6, 21,21, 17,19
03145,19960722,110,86,  98 ,   5, 59, 72,  0, 33,-,M  ,-,-, 0.00,29.58,29.84,  6.1,18, 8.1, 22,16, 20,15
03145,19960723,110,82,  96 ,   2, 61, 73,  0, 31,-,M  ,-,-, 0.00,29.54,29.79,  9.3,18,11.5, 20,16, 17,16
03145,19960724,111,86,  99 ,   5, 62, 74,  0, 34,-,M  ,-,-, 0.00,29.49,29.75, 14.0,16,14.4, 26,15, 22,15
03145,19960725,109,87,  98 ,   4, 65, 75,  0, 33,-,M  ,-,-, 0.00,29.53,29.78, 13.9,16,14.7, 28,15, 24,15
03145,19960726,104,86,  95 ,   1, 63, 74,  0, 30,HZ ,M  ,-,-, 0.00,29.56,29.81,  4.0,6, 7.9, 34,8, 28,8
03145,19960727,108,86,  97 ,   3, 67, 76,  0, 32,HZ ,M  ,-,-, 0.00,29.56,29.82,  6.4,17, 8.7, 29,14, 25,14
03145,19960728,109,88,  99 ,   4, 65, 75,  0, 34,-,M  ,-,-, 0.00,29.60,29.86,  3.0,6, 6.4, 16,28, 15,27
03145,19960729,111,86,  99 ,   5, 66, 76,  0, 34,-,M  ,-,-, 0.00,29.56,29.82,  3.7,20, 6.8, 17,27, 15,28
03145,19960730,116,89, 103 ,   9, 59, 74,  0, 38,HZ ,M  ,-,-, 0.12,29.46,29.72,  4.5,26, 6.1, 18,26, 14,30
03145,19960731,118*,93, 106*,  11, 58, 74,  0, 41,HZ ,M  ,-,-, 0.00,29.43,29.68,  4.5,26, 9.0, 32,16, 29,16
03159,19960701,103,62,   83, -06,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960702,105,68,   87, -03,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960703,96,78,   87, -03,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960704,100,74,   87, -03,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960705,101,74,   88, -02,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960706,102,67,   85, -05,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960707,99,75,   87, -04,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960708,97,73,   85, -06,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960709,95,69,   82, -09,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960710,95,74,   85, -06,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960711,95,76,   86, -05,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960712,100,70,   85, -06,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960713,102,73,   88, -03,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960714,101,78,   90, -01,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960715,97,73,   85, -06,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960716,89,68,   79, -13,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960717,91,66,   79, -13,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960718,95,67,   81, -11,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960719,96,60,   78, -14,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960720,100,56,   78, -14,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960721,99,60,   80, -12,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960722,99,77,   88, -04,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960723,103,76,   90, -02,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960724,107,79,   93,  01,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960725,106,70,   88, -04,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960726,98,77,   88, -04,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960727,97,77,   87, -05,-,-,-,-,RA SHRA ,  0,-, 0.0,  .02,-,-,-,-,-,-,-,-,-
03159,19960728,100,66,   83, -09,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960729,103,68,   86, -06,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960730,104,70,   87, -05,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03159,19960731,106,80,   93,  01,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
03160,19960701,105,63*,  84 ,   2, 31, 57,  0, 19,-,M  ,-,-, 0.00,26.56,29.84,  4.5,23, 7.7, 32,23, 25,22
03160,19960702,108,69,  89 ,   7, 41, 62,  0, 24,-,M  ,-,-, 0.00,26.46,29.73,  5.6,21, 8.6, 26,23, 23,22
03160,19960703,104,85,  95*,  13, 48, 66,  0, 30,-,M  ,-,-, 0.00,26.44,29.70, 11.6,20,13.5, 34,19, 25,22
03160,19960704,103,81,  92 ,   9, 47, 65,  0, 27,-,M  ,-,-, 0.00,26.44,29.70, 10.7,19,11.5, 30,23, 23,21
03160,19960705,106,75,  91 ,   8, 41, 62,  0, 26,-,M  ,-,-, 0.00,26.45,29.72,  6.8,23,10.3, 28,22, 22,21
03160,19960706,106,72,  89 ,   6, 40, 61,  0, 24,-,M  ,-,-, 0.00,26.51,29.77,  2.6,24, 6.9, 31,25, 21,21
